"TIME","GEO","INDIC_DE","Value"
"1990","European Union - 27 countries (from 2019)","Population on 1 January - total ","418,030,739"
"1990","European Union - 27 countries (from 2019)","Population on 1 January - males","203,365,156"
"1990","European Union - 27 countries (from 2019)","Population on 1 January - females","214,665,583"
"1990","European Union - 27 countries (from 2019)","Average population - total","418,764,395"
"1990","European Union - 27 countries (from 2019)","Average population - males","203,749,221"
"1990","European Union - 28 countries","Population on 1 January - total ","475,187,711"
"1990","European Union - 28 countries","Population on 1 January - males","231,138,844"
"1990","European Union - 28 countries","Population on 1 January - females","244,048,867"
"1990","European Union - 28 countries","Average population - total","476,011,981"
"1990","European Union - 28 countries","Average population - males","231,567,982"
"1990","European Union - 27 countries (2007-2013)","Population on 1 January - total ","470,415,155"
"1990","European Union - 27 countries (2007-2013)","Population on 1 January - males","228,826,266"
"1990","European Union - 27 countries (2007-2013)","Population on 1 January - females","241,588,889"
"1990","European Union - 27 countries (2007-2013)","Average population - total","471,234,613"
"1990","European Union - 27 countries (2007-2013)","Average population - males","229,252,919"
"1990","Euro area (19 countries)","Population on 1 January - total ","308,841,704"
"1990","Euro area (19 countries)","Population on 1 January - males","149,974,239"
"1990","Euro area (19 countries)","Population on 1 January - females","158,867,465"
"1990","Euro area (19 countries)","Average population - total","309,549,004"
"1990","Euro area (19 countries)","Average population - males","150,356,516"
"1990","Euro area (18 countries)","Population on 1 January - total ","305,147,996"
"1990","Euro area (18 countries)","Population on 1 January - males","148,226,766"
"1990","Euro area (18 countries)","Population on 1 January - females","156,921,230"
"1990","Euro area (18 countries)","Average population - total","305,851,166"
"1990","Euro area (18 countries)","Average population - males","148,607,291"
"1990","Belgium","Population on 1 January - total ","9,947,782"
"1990","Belgium","Population on 1 January - males","4,860,099"
"1990","Belgium","Population on 1 January - females","5,087,683"
"1990","Belgium","Average population - total","9,967,379"
"1990","Belgium","Average population - males","4,870,392"
"1990","Bulgaria","Population on 1 January - total ","8,767,308"
"1990","Bulgaria","Population on 1 January - males","4,323,773"
"1990","Bulgaria","Population on 1 January - females","4,443,535"
"1990","Bulgaria","Average population - total","8,718,289"
"1990","Bulgaria","Average population - males","4,296,886"
"1990","Czechia","Population on 1 January - total ","10,362,102"
"1990","Czechia","Population on 1 January - males","5,035,658"
"1990","Czechia","Population on 1 January - females","5,326,444"
"1990","Czechia","Average population - total","10,333,355"
"1990","Czechia","Average population - males","5,018,312"
"1990","Denmark","Population on 1 January - total ","5,135,409"
"1990","Denmark","Population on 1 January - males","2,530,597"
"1990","Denmark","Population on 1 January - females","2,604,812"
"1990","Denmark","Average population - total","5,140,939"
"1990","Denmark","Average population - males","2,533,494"
"1990","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","62,679,035"
"1990","Germany (until 1990 former territory of the FRG)","Population on 1 January - males","30,236,438"
"1990","Germany (until 1990 former territory of the FRG)","Population on 1 January - females","32,442,597"
"1990","Germany (until 1990 former territory of the FRG)","Average population - total","63,202,344"
"1990","Germany (until 1990 former territory of the FRG)","Average population - males","30,543,669"
"1990","Germany including former GDR","Population on 1 January - total ","79,112,831"
"1990","Germany including former GDR","Population on 1 January - males","38,109,738"
