tra_infr,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
RL,KM,BE10	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE21	: 	: 	245 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE22	: 	: 	271 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE23	: 	: 	499 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE24	: 	: 	306 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE25	: 	: 	315 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE31	: 	: 	129 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE32	: 	: 	646 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE33	: 	: 	462 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE34	: 	: 	285 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BE35	: 	: 	322 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RL,KM,BG31	649 	648 	648 	655 	644 	642 	642 	648 	648 	648 	648 	648 
RL,KM,BG32	620 	620 	620 	619 	631 	627 	627 	627 	627 	627 	627 	627 
RL,KM,BG33	490 	490 	488 	488 	478 	478 	478 	482 	484 	484 	484 	484 
RL,KM,BG34	705 	703 	705 	705 	670 	664 	662 	624 	624 	624 	624 	625 
RL,KM,BG41	899 	899 	899 	900 	899 	885 	885 	877 	866 	864 	864 	864 
RL,KM,BG42	783 	783 	784 	783 	776 	776 	776 	774 	774 	772 	782 	782 
RL,KM,CY00	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
RL,KM,CZ01	245 	243 	246 	248 	248 	248 	248 	244 	241 	241 	236 	236 
RL,KM,CZ02	1278 	1277 	1279 	1278 	1278 	1278 	1277 	1281 	1287 	1289 	1289 	1289 
RL,KM,CZ03	1662 	1661 	1689 	1690 	1691 	1692 	1692 	1685 	1684 	1682 	1680 	1680 
RL,KM,CZ04	1512 	1517 	1514 	1514 	1513 	1515 	1515 	1513 	1513 	1514 	1518 	1517 
RL,KM,CZ05	1809 	1809 	1809 	1810 	1810 	1809 	1807 	1807 	1804 	1803 	1804 	1807 
RL,KM,CZ06	1460 	1450 	1420 	1405 	1406 	1406 	1406 	1406 	1406 	1408 	1408 	1410 
RL,KM,CZ07	958 	958 	958 	959 	960 	961 	962 	961 	962 	961 	962 	962 
RL,KM,CZ08	673 	673 	673 	674 	663 	664 	664 	664 	664 	668 	667 	667 
RL,KM,DE30	631 	631 	631 	626 	603 	584 	583 	580 	580 	626 	626 	623 
RL,KM,DE40	2753 	2809 	2714 	2758 	2738 	2686 	2739 	2739 	2691 	2766 	2767 	2756 
